V,Theft,01/26/18. 03:56 PM.,THEFT FROM MOTOR VEHICLE 2305,Details
W,Theft,01/26/18. 10:15 AM.,COUNTERFEITING/FORGERY 2505,Details
X,Other,01/26/18. 01:44 AM.,LIQUOR LAW VIOLATION 4196,Details
Y,Other,01/26/18. 01:10 AM.,DISORDERLY CONDUCT 5393,Details
A,Theft,01/25/18. 09:15 PM.,THEFT FROM MOTOR VEHICLE 2305,Details
B,Theft,01/25/18. 12:00 AM.,CREDIT CARD/ATM 2605,Details
C,Theft,01/25/18. 04:12 PM.,SHOPLIFTING 3078,Details
D,Other,01/25/18. 11:55 AM.,ALL OTHER 7372,Details
E,Other,01/25/18. 01:36 PM.,ALL OTHER 7372,Details
F,Other,01/25/18. 11:18 AM.,ALL OTHER 7372,Details
G,Vandalism,01/25/18. 12:00 AM.,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY 2902,Details
H,Theft,01/25/18. 10:27 AM.,COUNTERFEITING/FORGERY 2502,Details
I,Arrest,01/25/18. 03:26 PM.,WEAPON LAW VIOLATIONS 5202,Details
J,Assault,01/25/18. 06:21 PM.,SIMPLE ASSAULT 1313,Details
K,Other,01/25/18. 06:21 PM.,ALL OTHER 5005,Details
L,Other,01/25/18. 07:03 PM.,ALL OTHER 5309,Details
M,Other,01/25/18. 02:37 PM.,ALL OTHER 7361,Details
N,Assault,01/25/18. 12:53 PM.,INTIMIDATION 1316,Details
O,Other,01/25/18. 03:26 PM.,ALL OTHER 5099,Details
P,Arrest,01/25/18. 03:26 PM.,DRUG/NARCOTIC VIOLATIONS 3562,Details
Q,Assault,01/25/18. 03:26 PM.,AGGRAVATED ASSAULT 1305,Details
R,Assault,01/25/18. 07:30 AM.,SIMPLE ASSAULT 1313,Details
S,Assault,01/25/18. 07:06 AM.,SIMPLE ASSAULT 1313,Details
T,Assault,01/25/18. 01:25 AM.,AGGRAVATED ASSAULT 1303,Details
A,Theft,01/24/18. 07:00 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2602,Details
B,Other,01/24/18. 01:30 PM.,ALL OTHER 7372,Details
C,Theft,01/24/18. 11:50 PM.,CREDIT CARD/ATM 2605,Details
D,Arrest,01/24/18. 07:53 PM.,WEAPON LAW VIOLATIONS 5202,Details
E,Theft,01/24/18. 01:43 AM.,THEFT FROM BUILDING 2308,Details
F,Other,01/24/18. 07:53 PM.,ALL OTHER 5015,Details
G,Arrest,01/24/18. 07:53 PM.,DRUG/NARCOTIC VIOLATIONS 3562,Details
H,Other,01/24/18. 08:10 PM.,ALL OTHER 5015,Details
I,Assault,01/24/18. 07:53 PM.,AGGRAVATED ASSAULT 1304,Details
J,Burglary,01/24/18. 05:00 AM.,BURGLARY/BREAKING & ENTERING 2202,Details
K,Other,01/24/18. 02:45 PM.,TRESPASS OF REAL PROPERTY 5707,Details
L,Theft,01/24/18. 02:12 PM.,IDENTITY THEFT FRAUD 2609,Details
M,Theft,01/24/18. 05:35 PM.,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME 2699,Details
N,Burglary,01/24/18. 12:30 AM.,BURGLARY/BREAKING & ENTERING 2204,Details
A,Theft,01/23/18. 10:48 AM.,IDENTITY THEFT FRAUD 2609,Details
B,Theft,01/23/18. 02:54 PM.,SHOPLIFTING 3078,Details
C,Theft,01/23/18. 04:00 PM.,SHOPLIFTING 3078,Details
